U1/V	IA/nA	IA/nA
7,37	0,02	0,03
7,39	0,02	0,03
7,42	0,03	0,03
7,44	0,06	0,03
7,47	0,06	0,04
7,49	0,05	0,04
7,52	0,05	0,05
7,54	0,06	0,05
7,57	0,03	0,06
7,59	0,04	0,06
7,61	0,04	0,06
7,64	0,05	0,07
7,66	0,06	0,07
7,69	0,07	0,08
7,71	0,09	0,08
7,74	0,10	0,08
7,76	0,12	0,08
7,78	0,10	0,08
7,81	0,11	0,09
7,83	0,08	0,09
7,86	0,10	0,09
7,88	0,09	0,09
7,91	0,13	0,10
7,93	0,13	0,10
7,96	0,12	0,10
7,98	0,10	0,10
8,00	0,09	0,10
8,03	0,08	0,11
8,05	0,09	0,11
8,08	0,08	0,11
8,10	0,09	0,11
8,13	0,09	0,11
8,15	0,09	0,11
8,18	0,09	0,11
8,20	0,12	0,11
8,22	0,14	0,11
8,25	0,16	0,11
8,27	0,16	0,11
8,30	0,15	0,12
8,32	0,15	0,12
8,35	0,13	0,13
8,37	0,13	0,13
8,40	0,10	0,13
8,42	0,11	0,14
8,44	0,10	0,14
8,47	0,11	0,14
8,49	0,11	0,14
8,52	0,13	0,14
8,54	0,17	0,14
8,57	0,16	0,14
8,59	0,17	0,14
8,62	0,17	0,15
8,64	0,18	0,15
8,66	0,15	0,15
8,69	0,15	0,16
8,71	0,14	0,17
8,74	0,14	0,17
8,76	0,15	0,18
8,79	0,14	0,18
8,81	0,16	0,18
8,84	0,17	0,18
8,86	0,20	0,18
8,88	0,21	0,18
8,91	0,22	0,19
8,93	0,23	0,19
8,96	0,22	0,19
8,98	0,21	0,19
9,01	0,22	0,19
9,03	0,20	0,20
9,05	0,19	0,20
9,08	0,20	0,21
9,10	0,20	0,21
9,13	0,20	0,21
9,15	0,22	0,22
9,18	0,19	0,22
9,20	0,19	0,22
9,23	0,19	0,22
9,25	0,18	0,22
9,27	0,19	0,22
9,30	0,23	0,22
9,32	0,26	0,23
9,35	0,25	0,23
9,37	0,28	0,23
9,40	0,26	0,24
9,42	0,25	0,24
9,45	0,24	0,25
9,47	0,24	0,25
9,49	0,23	0,26
9,52	0,24	0,26
9,54	0,25	0,27
9,57	0,24	0,27
9,59	0,26	0,27
9,62	0,28	0,27
9,64	0,30	0,27
9,67	0,30	0,28
9,69	0,29	0,28
9,71	0,30	0,29
9,74	0,31	0,29
9,76	0,29	0,30
9,79	0,30	0,31
9,81	0,30	0,31
9,84	0,29	0,32
9,86	0,29	0,32
9,89	0,31	0,33
9,91	0,31	0,33
9,93	0,34	0,34
9,96	0,37	0,34
9,98	0,36	0,34
10,01	0,37	0,35
10,03	0,38	0,35
10,06	0,38	0,36
10,08	0,36	0,36
10,10	0,38	0,37
10,13	0,37	0,38
10,15	0,38	0,38
10,18	0,39	0,39
10,20	0,39	0,40
10,23	0,40	0,40
10,25	0,41	0,41
10,28	0,40	0,42
10,30	0,39	0,42
10,32	0,41	0,43
10,35	0,40	0,44
10,37	0,41	0,44
10,40	0,45	0,45
10,42	0,47	0,46
10,45	0,49	0,47
10,47	0,50	0,48
10,50	0,51	0,49
10,52	0,52	0,50
10,54	0,52	0,51
10,57	0,51	0,52
10,59	0,51	0,53
10,62	0,53	0,54
10,64	0,53	0,55
10,67	0,55	0,56
10,69	0,56	0,57
10,72	0,58	0,58
10,74	0,61	0,58
10,76	0,61	0,59
10,79	0,62	0,60
10,81	0,62	0,61
10,84	0,63	0,62
10,86	0,62	0,63
10,89	0,64	0,64
10,91	0,63	0,65
10,94	0,64	0,66
10,96	0,66	0,67
10,98	0,66	0,68
11,01	0,67	0,68
11,03	0,69	0,69
11,06	0,72	0,70
11,08	0,71	0,71
11,11	0,72	0,71
11,13	0,74	0,72
11,15	0,75	0,73
11,18	0,76	0,74
11,20	0,76	0,74
11,23	0,77	0,75
11,25	0,76	0,76
11,28	0,76	0,77
11,30	0,77	0,78
11,33	0,78	0,79
11,35	0,79	0,79
11,37	0,78	0,80
11,40	0,79	0,81
11,42	0,79	0,81
11,45	0,80	0,82
11,47	0,82	0,83
11,50	0,85	0,83
11,52	0,86	0,84
11,55	0,86	0,84
11,57	0,87	0,85
11,59	0,87	0,86
11,62	0,88	0,87
11,64	0,88	0,87
11,67	0,90	0,88
11,69	0,88	0,89
11,72	0,88	0,89
11,74	0,89	0,90
11,77	0,89	0,90
11,79	0,91	0,90
11,81	0,91	0,91
11,84	0,95	0,91
11,86	0,93	0,91
11,89	0,94	0,91
11,91	0,94	0,92
11,94	0,94	0,92
11,96	0,92	0,92
11,99	0,93	0,93
12,01	0,92	0,93
12,03	0,90	0,93
12,06	0,91	0,93
12,08	0,91	0,94
12,11	0,92	0,93
12,13	0,94	0,93
12,16	0,94	0,93
12,18	0,95	0,93
12,21	0,94	0,93
12,23	0,96	0,93
12,25	0,95	0,93
12,28	0,95	0,93
12,30	0,96	0,93
12,33	0,93	0,94
12,35	0,94	0,94
12,38	0,93	0,94
12,40	0,92	0,93
12,42	0,92	0,93
12,45	0,95	0,93
12,47	0,93	0,93
12,50	0,92	0,93
12,52	0,93	0,93
12,55	0,92	0,92
12,57	0,94	0,92
12,60	0,91	0,92
12,62	0,93	0,91
12,64	0,91	0,91
12,67	0,91	0,91
12,69	0,90	0,91
12,72	0,91	0,90
12,74	0,91	0,90
12,77	0,91	0,90
12,79	0,90	0,90
12,82	0,88	0,90
12,84	0,88	0,89
12,86	0,87	0,89
12,89	0,87	0,89
12,91	0,89	0,88
12,94	0,89	0,88
12,96	0,89	0,88
12,99	0,88	0,88
13,01	0,88	0,87
13,04	0,89	0,87
13,06	0,89	0,87
13,08	0,88	0,87
13,11	0,86	0,87
13,13	0,86	0,87
13,16	0,84	0,87
13,18	0,84	0,86
13,21	0,85	0,86
13,23	0,88	0,86
13,26	0,86	0,86
13,28	0,85	0,85
13,30	0,86	0,85
13,33	0,84	0,85
13,35	0,86	0,85
13,38	0,87	0,84
13,40	0,87	0,84
13,43	0,85	0,84
13,45	0,85	0,84
13,47	0,83	0,84
13,50	0,81	0,84
13,52	0,82	0,84
13,55	0,83	0,84
13,57	0,83	0,83
13,60	0,82	0,83
13,62	0,83	0,83
13,65	0,82	0,83
13,67	0,84	0,83
13,69	0,84	0,83
13,72	0,84	0,83
13,74	0,84	0,83
13,77	0,82	0,83
13,79	0,81	0,83
13,82	0,82	0,83
13,84	0,82	0,83
13,87	0,83	0,84
13,89	0,83	0,84
13,91	0,83	0,84
13,94	0,83	0,85
13,96	0,84	0,85
13,99	0,85	0,85
14,01	0,86	0,85
14,04	0,87	0,86
14,06	0,85	0,86
14,09	0,85	0,87
14,11	0,85	0,87
14,13	0,88	0,88
14,16	0,90	0,88
14,18	0,91	0,89
14,21	0,89	0,90
14,23	0,90	0,90
14,26	0,89	0,91
14,28	0,89	0,92
14,31	0,91	0,92
14,33	0,93	0,93
14,35	0,94	0,94
14,38	0,94	0,95
14,40	0,95	0,96
14,43	0,95	0,96
14,45	0,97	0,97
14,48	0,98	0,98
14,50	0,99	0,99
14,52	0,98	1,01
14,55	0,99	1,02
14,57	1,00	1,03
14,60	1,02	1,05
14,62	1,04	1,06
14,65	1,08	1,07
14,67	1,10	1,09
14,70	1,09	1,11
14,72	1,11	1,12
14,74	1,13	1,14
14,77	1,15	1,16
14,79	1,17	1,18
14,82	1,21	1,20
14,84	1,21	1,22
14,87	1,23	1,24
14,89	1,23	1,26
14,92	1,25	1,28
14,94	1,28	1,30
14,96	1,31	1,32
14,99	1,34	1,34
15,01	1,36	1,37
15,04	1,40	1,39
15,06	1,40	1,42
15,09	1,45	1,44
15,11	1,47	1,46
15,14	1,48	1,48
15,16	1,50	1,51
15,18	1,52	1,53
15,21	1,55	1,56
15,23	1,59	1,58
15,26	1,63	1,61
15,28	1,66	1,63
15,31	1,67	1,66
15,33	1,69	1,68
15,36	1,69	1,71
15,38	1,72	1,73
15,40	1,74	1,76
15,43	1,79	1,78
15,45	1,81	1,81
15,48	1,83	1,83
15,50	1,84	1,85
15,53	1,87	1,88
15,55	1,91	1,90
15,57	1,94	1,92
15,60	1,98	1,94
15,62	1,98	1,97
15,65	2,01	1,99
15,67	2,00	2,01
15,70	2,02	2,04
15,72	2,04	2,06
15,75	2,09	2,08
15,77	2,10	2,09
15,79	2,11	2,11
15,82	2,15	2,13
15,84	2,16	2,15
15,87	2,21	2,16
15,89	2,21	2,18
15,92	2,23	2,20
15,94	2,23	2,21
15,97	2,24	2,23
15,99	2,24	2,24
16,01	2,26	2,25
16,04	2,28	2,27
16,06	2,29	2,28
16,09	2,30	2,29
16,11	2,30	2,30
16,14	2,31	2,30
16,16	2,32	2,31
16,19	2,34	2,32
16,21	2,35	2,32
16,23	2,36	2,33
16,26	2,35	2,33
16,28	2,36	2,34
16,31	2,35	2,34
16,33	2,34	2,34
16,36	2,34	2,34
16,38	2,36	2,34
16,41	2,35	2,34
16,43	2,36	2,34
16,45	2,37	2,34
16,48	2,36	2,34
16,50	2,37	2,33
16,53	2,36	2,33
16,55	2,34	2,32
16,58	2,32	2,32
16,60	2,31	2,31
16,63	2,28	2,30
16,65	2,31	2,29
16,67	2,31	2,28
16,70	2,31	2,27
16,72	2,29	2,26
16,75	2,27	2,25
16,77	2,24	2,24
16,80	2,21	2,22
16,82	2,21	2,21
16,84	2,21	2,19
16,87	2,21	2,18
16,89	2,18	2,16
16,92	2,16	2,15
16,94	2,14	2,13
16,97	2,13	2,11
16,99	2,11	2,10
17,02	2,10	2,08
17,04	2,05	2,06
17,06	2,03	2,05
17,09	2,00	2,03
17,11	1,98	2,01
17,14	1,97	1,99
17,16	1,99	1,97
17,19	1,96	1,95
17,21	1,95	1,93
17,24	1,94	1,92
17,26	1,91	1,90
17,28	1,91	1,88
17,31	1,89	1,86
17,33	1,86	1,84
17,36	1,80	1,83
17,38	1,80	1,81
17,41	1,76	1,79
17,43	1,75	1,77
17,46	1,75	1,76
17,48	1,75	1,74
17,50	1,73	1,72
17,53	1,71	1,70
17,55	1,68	1,68
17,58	1,66	1,66
17,60	1,66	1,64
17,63	1,62	1,63
17,65	1,61	1,61
17,68	1,59	1,59
17,70	1,55	1,58
17,72	1,53	1,56
17,75	1,54	1,54
17,77	1,52	1,53
17,80	1,52	1,51
17,82	1,51	1,49
17,85	1,48	1,48
17,87	1,45	1,46
17,89	1,43	1,45
17,92	1,42	1,43
17,94	1,41	1,42
17,97	1,41	1,40
17,99	1,37	1,39
18,02	1,36	1,38
18,04	1,34	1,36
18,07	1,36	1,35
18,09	1,33	1,34
18,11	1,35	1,33
18,14	1,31	1,32
18,16	1,30	1,31
18,19	1,25	1,31
18,21	1,25	1,30
18,24	1,25	1,29
18,26	1,27	1,28
18,29	1,27	1,28
18,31	1,27	1,27
18,33	1,26	1,27
18,36	1,26	1,26
18,38	1,28	1,26
18,41	1,26	1,26
18,43	1,25	1,26
18,46	1,25	1,26
18,48	1,23	1,26
18,51	1,22	1,26
18,53	1,23	1,26
18,55	1,24	1,26
18,58	1,26	1,27
18,60	1,27	1,27
18,63	1,28	1,27
18,65	1,27	1,27
18,68	1,28	1,28
18,70	1,29	1,29
18,73	1,30	1,29
18,75	1,29	1,30
18,77	1,28	1,31
18,80	1,29	1,32
18,82	1,29	1,33
18,85	1,31	1,34
18,87	1,32	1,35
18,90	1,37	1,36
18,92	1,37	1,38
18,94	1,38	1,39
18,97	1,40	1,40
18,99	1,41	1,42
19,02	1,44	1,44
19,04	1,44	1,45
19,07	1,46	1,47
19,09	1,47	1,49
19,12	1,49	1,52
19,14	1,49	1,54
19,16	1,55	1,57
19,19	1,57	1,59
19,21	1,59	1,62
19,24	1,61	1,64
19,26	1,64	1,67
19,29	1,65	1,70
19,31	1,69	1,73
19,34	1,75	1,76
19,36	1,80	1,79
19,38	1,84	1,82
19,41	1,87	1,86
19,43	1,89	1,89
19,46	1,92	1,93
19,48	1,95	1,96
19,51	2,00	2,00
19,53	2,03	2,04
19,56	2,06	2,08
19,58	2,10	2,12
19,60	2,12	2,16
19,63	2,17	2,20
19,65	2,22	2,24
19,68	2,28	2,29
19,70	2,32	2,33
19,73	2,36	2,37
19,75	2,40	2,42
19,78	2,43	2,46
19,80	2,50	2,51
19,82	2,55	2,56
19,85	2,61	2,60
19,87	2,64	2,65
19,90	2,70	2,70
19,92	2,73	2,75
19,95	2,78	2,80
19,97	2,83	2,85
19,99	2,91	2,89
20,02	2,96	2,94
20,04	2,99	2,99
20,07	3,06	3,04
20,09	3,10	3,09
20,12	3,16	3,14
20,14	3,19	3,18
20,17	3,27	3,23
20,19	3,28	3,28
20,21	3,32	3,33
20,24	3,37	3,37
20,26	3,42	3,41
20,29	3,46	3,46
20,31	3,52	3,50
20,34	3,57	3,54
20,36	3,61	3,58
20,39	3,64	3,62
20,41	3,69	3,66
20,43	3,73	3,69
20,46	3,76	3,73
20,48	3,78	3,76
20,51	3,81	3,79
20,53	3,85	3,82
20,56	3,87	3,85
20,58	3,94	3,87
20,61	3,96	3,90
20,63	3,98	3,92
20,65	3,98	3,94
20,68	3,99	3,96
20,70	3,98	3,97
20,73	4,00	3,99
20,75	4,02	4,00
20,78	4,04	4,01
20,80	4,05	4,01
20,83	4,05	4,02
20,85	4,06	4,02
20,87	4,07	4,02
20,90	4,08	4,02
20,92	4,08	4,02
20,95	4,06	4,02
20,97	4,03	4,02
21,00	4,02	4,01
21,02	4,00	4,01
21,05	3,99	4,00
21,07	3,99	3,98
21,09	4,00	3,97
21,12	3,98	3,95
21,14	3,97	3,93
21,17	3,96	3,91
21,19	3,94	3,89
21,22	3,94	3,87
21,24	3,91	3,85
21,26	3,88	3,82
21,29	3,83	3,80
21,31	3,80	3,78
21,34	3,74	3,75
21,36	3,71	3,72
21,39	3,67	3,69
21,41	3,66	3,66
21,44	3,63	3,63
21,46	3,60	3,60
21,48	3,57	3,56
21,51	3,55	3,52
21,53	3,53	3,49
21,56	3,47	3,45
21,58	3,44	3,41
21,61	3,41	3,38
21,63	3,35	3,34
21,66	3,31	3,30
21,68	3,28	3,26
21,70	3,23	3,22
21,73	3,18	3,18
21,75	3,15	3,14
21,78	3,10	3,10
21,80	3,07	3,06
21,83	3,02	3,02
21,85	2,98	2,98
21,88	2,94	2,93
21,90	2,88	2,89
21,92	2,84	2,85
21,95	2,80	2,81
21,97	2,76	2,77
22,00	2,74	2,73
22,02	2,70	2,69
22,05	2,65	2,64
22,07	2,58	2,61
22,10	2,56	2,57
22,12	2,49	2,53
22,14	2,46	2,49
22,17	2,43	2,45
22,19	2,41	2,41
22,22	2,36	2,37
22,24	2,33	2,34
22,27	2,30	2,30
22,29	2,25	2,26
22,31	2,24	2,23
22,34	2,19	2,19
22,36	2,17	2,16
22,39	2,12	2,13
22,41	2,07	2,10
22,44	2,03	2,07
22,46	2,00	2,04
22,49	1,97	2,01
22,51	1,94	1,98
22,53	1,94	1,95
22,56	1,90	1,92
22,58	1,88	1,89
22,61	1,86	1,87
22,63	1,85	1,84
22,66	1,82	1,82
22,68	1,78	1,80
22,71	1,77	1,78
22,73	1,74	1,76
22,75	1,72	1,74
22,78	1,69	1,72
22,80	1,68	1,71
22,83	1,65	1,69
22,85	1,63	1,68
22,88	1,63	1,66
22,90	1,62	1,65
22,93	1,62	1,64
22,95	1,62	1,63
22,97	1,61	1,62
23,00	1,60	1,62
23,02	1,58	1,61
23,05	1,59	1,60
23,07	1,57	1,60
23,10	1,60	1,60
23,12	1,59	1,60
23,15	1,59	1,60
23,17	1,60	1,61
23,19	1,60	1,61
23,22	1,58	1,61
23,24	1,57	1,62
23,27	1,59	1,62
23,29	1,58	1,63
23,32	1,61	1,63
23,34	1,62	1,64
23,36	1,65	1,65
23,39	1,66	1,66
23,41	1,69	1,67
23,44	1,70	1,68
23,46	1,69	1,70
23,49	1,67	1,71
23,51	1,69	1,73
23,54	1,70	1,75
23,56	1,71	1,78
23,58	1,73	1,80
23,61	1,79	1,82
23,63	1,81	1,85
23,66	1,84	1,87
23,68	1,86	1,89
23,71	1,91	1,92
23,73	1,95	1,95
23,76	1,98	1,98
23,78	2,01	2,02
23,80	2,04	2,06
23,83	2,08	2,09
23,85	2,10	2,13
23,88	2,15	2,17
23,90	2,17	2,21
23,93	2,22	2,25
23,95	2,26	2,29
23,98	2,31	2,34
24,00	2,36	2,38
24,02	2,41	2,43
24,05	2,49	2,47
24,07	2,53	2,52
24,10	2,57	2,58
24,12	2,61	2,63
24,15	2,65	2,68
24,17	2,68	2,74
24,20	2,73	2,79
24,22	2,80	2,85
24,24	2,86	2,91
24,27	2,94	2,97
24,29	3,01	3,03
24,32	3,09	3,09
24,34	3,16	3,15
24,37	3,21	3,21
24,39	3,28	3,28
24,42	3,32	3,35
24,44	3,39	3,42
24,46	3,44	3,49
24,49	3,52	3,56
24,51	3,60	3,63
24,54	3,68	3,70
24,56	3,76	3,78
24,59	3,84	3,85
24,61	3,94	3,92
24,63	4,00	4,00
24,66	4,09	4,07
24,68	4,15	4,15
24,71	4,23	4,23
24,73	4,30	4,30
24,76	4,37	4,38
24,78	4,45	4,46
24,81	4,53	4,53
24,83	4,63	4,61
24,85	4,70	4,68
24,88	4,78	4,75
24,90	4,85	4,83
24,93	4,93	4,90
24,95	4,99	4,97
24,98	5,06	5,03
25,00	5,14	5,10
25,03	5,20	5,16
25,05	5,27	5,23
25,07	5,34	5,29
25,10	5,40	5,34
25,12	5,45	5,40
25,15	5,51	5,45
25,17	5,57	5,50
25,20	5,59	5,55
25,22	5,65	5,60
25,25	5,70	5,64
25,27	5,73	5,68
25,29	5,76	5,71
25,32	5,79	5,75
25,34	5,82	5,78
25,37	5,86	5,81
25,39	5,89	5,83
25,42	5,91	5,86
25,44	5,95	5,88
25,47	5,93	5,90
25,49	5,93	5,91
25,51	5,95	5,92
25,54	5,95	5,93
25,56	5,97	5,93
25,59	6,00	5,93
25,61	6,04	5,93
25,64	6,02	5,93
25,66	6,01	5,92
25,68	5,99	5,91
25,71	5,96	5,89
25,73	5,94	5,88
25,76	5,92	5,86
25,78	5,88	5,84
25,81	5,86	5,82
25,83	5,83	5,79
25,86	5,79	5,76
25,88	5,75	5,73
25,90	5,74	5,69
25,93	5,70	5,65
25,95	5,66	5,61
25,98	5,61	5,57
26,00	5,58	5,52
26,03	5,52	5,48
26,05	5,45	5,43
26,08	5,42	5,38
26,10	5,34	5,33
26,12	5,30	5,28
26,15	5,24	5,22
26,17	5,20	5,16
26,20	5,12	5,10
26,22	5,07	5,04
26,25	5,03	4,98
26,27	4,94	4,92
26,30	4,89	4,86
26,32	4,81	4,80
26,34	4,76	4,73
26,37	4,66	4,67
26,39	4,60	4,60
26,42	4,51	4,54
26,44	4,46	4,47
26,47	4,39	4,40
26,49	4,32	4,34
26,52	4,28	4,27
26,54	4,22	4,20
26,56	4,15	4,13
26,59	4,08	4,07
26,61	4,01	4,00
26,64	3,94	3,94
26,66	3,86	3,87
26,69	3,79	3,81
26,71	3,71	3,74
26,73	3,65	3,68
26,76	3,58	3,61
26,78	3,53	3,55
26,81	3,49	3,49
26,83	3,43	3,42
26,86	3,39	3,36
26,88	3,29	3,30
26,91	3,23	3,24
26,93	3,15	3,19
26,95	3,09	3,13
26,98	3,02	3,07
27,00	2,98	3,02
27,03	2,96	2,96
27,05	2,89	2,91
27,08	2,86	2,86
27,10	2,80	2,81
27,13	2,76	2,75
27,15	2,68	2,71
27,17	2,65	2,66
27,20	2,56	2,62
27,22	2,52	2,58
27,25	2,48	2,54
27,27	2,44	2,50
27,30	2,40	2,46
27,32	2,38	2,42
27,35	2,37	2,38
27,37	2,33	2,35
27,39	2,29	2,31
27,42	2,27	2,28
27,44	2,25	2,25
27,47	2,22	2,23
27,49	2,19	2,20
27,52	2,15	2,18
27,54	2,12	2,15
27,57	2,09	2,13
27,59	2,07	2,11
27,61	2,05	2,09
27,64	2,06	2,08
27,66	2,03	2,06
27,69	2,03	2,04
27,71	2,00	2,03
27,74	1,99	2,02
27,76	1,99	2,01
27,78	1,98	2,00
27,81	1,98	1,99
27,83	1,95	1,99
27,86	1,96	1,98
27,88	1,94	1,98
27,91	1,95	1,98
27,93	1,95	1,99
27,96	1,97	1,99
27,98	1,95	2,00
28,00	1,95	2,01
28,03	1,96	2,02
28,05	1,97	2,03
28,08	2,00	2,04
28,10	2,01	2,06
28,13	2,05	2,07
28,15	2,07	2,09
28,18	2,10	2,12
28,20	2,12	2,14
28,22	2,16	2,16
28,25	2,19	2,19
28,27	2,21	2,22
28,30	2,21	2,25
28,32	2,23	2,29
28,35	2,27	2,32
28,37	2,31	2,36
28,40	2,35	2,39
